"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"a [[gorgeous]] , high-spirited [[musical]] from india that [[exquisitely]] blends music , dance , [[song]] , and [[high]] drama . ","a [[excellent]] , high-spirited [[chanson]] from india that [[strikingly]] blends music , dance , [[hymn]] , and [[tertiary]] drama . ",0.0019055008888244629,0.0023347139358520508,1,1,1,200,"Failed"
"the emotions are [[raw]] and will strike a nerve with anyone who 's ever had family trauma . ","the emotions are [[brute]] and will strike a nerve with anyone who 's ever had family trauma . ",0.00205153226852417,0.7183628678321838,1,0,1,30,"Successful"
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french [[comedy]] , she 's as morning-glory [[exuberant]] as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french [[slapstick]] , she 's as morning-glory [[florid]] as she was in amélie . ",0.0022194981575012207,0.5306769609451294,1,0,1,101,"Successful"
"... the [[movie]] is just a [[plain]] [[old]] [[monster]] . ","... the [[images]] is just a [[meadows]] [[oldest]] [[creatures]] . ",0.002393007278442383,0.05975240468978882,0,0,0,130,"Failed"
"in its best moments , [[resembles]] a [[bad]] [[high]] school production of grease , without benefit of song . ","in its best moments , [[conjures]] a [[wicked]] [[lofty]] school production of grease , without benefit of song . ",0.002422153949737549,0.8375251293182373,0,1,0,127,"Successful"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an [[uneven]] tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an [[lopsided]] tone that you never know when humor ends and tragedy begins . ",0.07757669687271118,0.9854727983474731,0,1,0,61,"Successful"
"the iditarod lasts for days - this just [[felt]] like it did . ","the iditarod lasts for days - this just [[discoveries]] like it did . ",0.33559340238571167,0.9403903484344482,0,1,0,62,"Successful"
"holden caulfield did it better . ","holden caulfield did it better . ",0.9404352903366089,0.9404352903366089,1,1,0,1,"Skipped"
"a delectable and intriguing thriller [[filled]] with [[surprises]] , [[read]] my lips is an [[original]] . ","a delectable and intriguing thriller [[occupied]] with [[stupor]] , [[dsl]] my lips is an [[rudimentary]] . ",0.0016320347785949707,0.6290621757507324,1,0,1,94,"Successful"
"seldom has a movie [[so]] closely matched the spirit of a man and his work . ","seldom has a movie [[even]] closely matched the spirit of a man and his work . ",0.005233168601989746,0.9236205816268921,1,0,1,45,"Successful"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex gags to [[formula]] romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[ancient]] parody to raunchy sex gags to [[formulas]] romantic comedy . ",0.011444509029388428,0.6721775531768799,0,1,0,66,"Successful"
"the [[action]] [[switches]] between past and present , but the [[material]] link is too [[tenuous]] to anchor the [[emotional]] [[connections]] that purport to span a 125-year divide . ","the [[moves]] [[exchanged]] between past and present , but the [[materialist]] link is too [[frailty]] to anchor the [[witty]] [[connectivity]] that purport to span a 125-year divide . ",0.011733472347259521,0.5096811056137085,0,1,0,166,"Successful"
"it 's an offbeat [[treat]] that pokes [[fun]] at the [[democratic]] exercise while also examining its significance for those who take part . ","it 's an offbeat [[broached]] that pokes [[droll]] at the [[republican]] exercise while also examining its significance for those who take part . ",0.002096414566040039,0.8862223029136658,1,0,1,113,"Successful"
"it 's a cookie-cutter [[movie]] , a cut-and-paste [[job]] . ","it 's a cookie-cutter [[photographer]] , a cut-and-paste [[professional]] . ",0.008103430271148682,0.8204432725906372,0,1,0,104,"Successful"
"i had to look away - this was god [[awful]] . ","i had to look away - this was god [[outrageous]] . ",0.005251824855804443,0.6565409898757935,0,1,0,31,"Successful"
"[[thanks]] to scott 's charismatic roger and [[eisenberg]] 's [[sweet]] [[nephew]] , roger [[dodger]] is one of the most [[compelling]] variations on in the [[company]] of men . ","[[merci]] to scott 's charismatic roger and [[lerman]] 's [[gooey]] [[neveu]] , roger [[yankees]] is one of the most [[unconvincing]] variations on in the [[businessmen]] of men . ",0.001976490020751953,0.8971740007400513,1,0,1,187,"Successful"
"... designed to provide a mix of smiles and tears , `` crossroads '' [[instead]] provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' [[even]] provokes a handful of unintentional howlers and numerous yawns . ",0.009209990501403809,0.6777706146240234,0,1,0,59,"Successful"
"a [[gorgeous]] , [[witty]] , [[seductive]] [[movie]] . ","a [[grandiose]] , [[psychiatric]] , [[sexier]] [[stills]] . ",0.0014508366584777832,0.5518963932991028,1,0,1,138,"Successful"
"if the [[movie]] [[succeeds]] in instilling a [[wary]] [[sense]] of ` there but for the [[grace]] of [[god]] , ' it is [[far]] too self-conscious to draw you deeply into its [[world]] . ","if the [[films]] [[prosper]] in instilling a [[meticulous]] [[senses]] of ` there but for the [[graces]] of [[lawd]] , ' it is [[acutely]] too self-conscious to draw you deeply into its [[monde]] . ",0.011381149291992188,0.6929627656936646,0,1,0,195,"Successful"
"it [[does]] n't [[believe]] in itself , it has no [[sense]] of [[humor]] ... it 's just [[plain]] [[bored]] . ","it [[wantto]] n't [[presume]] in itself , it has no [[foreboding]] of [[laughing]] ... it 's just [[unadulterated]] [[annoy]] . ",0.002825140953063965,0.7360238432884216,0,1,0,150,"Successful"
"a sequence of [[ridiculous]] shoot - 'em - up scenes . ","a sequence of [[ironic]] shoot - 'em - up scenes . ",0.002636849880218506,0.9708423018455505,0,1,0,48,"Successful"
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic [[prove]] recommendation enough . ","the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic [[test]] recommendation enough . ",0.004730880260467529,0.5877081751823425,1,0,1,65,"Successful"
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is [[short]] on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is [[summary]] on the thrills the oversize medium demands . ",0.005183041095733643,0.9793544411659241,0,1,0,33,"Successful"
"as [[surreal]] as a dream and as [[detailed]] as a [[photograph]] , as [[visually]] [[dexterous]] as it is at times imaginatively [[overwhelming]] . ","as [[grotesque]] as a dream and as [[circumspect]] as a [[images]] , as [[aesthetically]] [[smarter]] as it is at times imaginatively [[dreaded]] . ",0.0026677846908569336,0.9170896410942078,1,0,1,105,"Successful"
"escaping the studio , piccoli is [[warmly]] affecting and [[so]] is this adroitly minimalist [[movie]] . ","escaping the studio , piccoli is [[cordial]] affecting and [[why]] is this adroitly minimalist [[cinematographic]] . ",0.0019318461418151855,0.6791632175445557,1,0,1,102,"Successful"
"there 's ... [[tremendous]] [[energy]] from the cast , a sense of [[playfulness]] and [[excitement]] that seems appropriate . ","there 's ... [[gargantuan]] [[energies]] from the cast , a sense of [[childishness]] and [[gusto]] that seems appropriate . ",0.001768648624420166,0.7455909252166748,1,0,1,153,"Successful"
"this [[illuminating]] documentary transcends our [[preconceived]] vision of the holy [[land]] and its [[inhabitants]] , [[revealing]] the [[human]] complexities [[beneath]] . ","this [[instructional]] documentary transcends our [[stereotypical]] vision of the holy [[terrain]] and its [[occupier]] , [[disclosing]] the [[humanistic]] complexities [[following]] . ",0.002104640007019043,0.7950948476791382,1,0,1,140,"Successful"
"the subtle strength of `` elling '' is that it never [[loses]] touch with the reality of the grim situation . ","the subtle strength of `` elling '' is that it never [[loosing]] touch with the reality of the grim situation . ",0.003994762897491455,0.7993625402450562,1,0,1,29,"Successful"
"holm ... embodies the character with an [[effortlessly]] [[regal]] [[charisma]] . ","holm ... embodies the character with an [[conveniently]] [[royalist]] [[fetish]] . ",0.0019357800483703613,0.8354915380477905,1,0,1,63,"Successful"
"the title not only describes its main characters , but the [[lazy]] people behind the camera as well . ","the title not only describes its main characters , but the [[unmotivated]] people behind the camera as well . ",0.021567225456237793,0.8059735894203186,0,1,0,19,"Successful"
"it offers [[little]] beyond the momentary joys of pretty and weightless intellectual entertainment . ","it offers [[lite]] beyond the momentary joys of pretty and weightless intellectual entertainment . ",0.03709077835083008,0.997756838798523,0,1,0,52,"Successful"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ","a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ",0.9507644772529602,0.9507644772529602,1,1,0,1,"Skipped"
"a [[subtle]] and well-crafted ( for the most [[part]] ) chiller . ","a [[inconspicuous]] and well-crafted ( for the most [[segment]] ) chiller . ",0.0018385052680969238,0.034104883670806885,1,1,1,64,"Failed"
"has a lot of the [[virtues]] of [[eastwood]] at his [[best]] . ","has a lot of the [[prerogatives]] of [[tobey]] at his [[superior]] . ",0.0019924044609069824,0.9267235994338989,1,0,1,76,"Successful"
"it 's [[hampered]] by a lifetime-channel kind of [[plot]] and a lead actress who is out of her [[depth]] . ","it 's [[restrained]] by a lifetime-channel kind of [[intrigue]] and a lead actress who is out of her [[deepening]] . ",0.002247035503387451,0.6219846606254578,0,1,0,88,"Successful"
"it [[feels]] [[like]] an after-school special gussied up with some fancy special effects , and watching its [[rote]] [[plot]] points connect is about as exciting as gazing at an egg timer for 93 [[minutes]] . ","it [[esteem]] [[enjoy]] an after-school special gussied up with some fancy special effects , and watching its [[rossa]] [[lots]] points connect is about as exciting as gazing at an egg timer for 93 [[mins]] . ",0.006178736686706543,0.5425338745117188,0,1,0,108,"Successful"
"for the most part , [[director]] anne-sophie birot 's first [[feature]] is a sensitive , [[extraordinarily]] well-acted [[drama]] . ","for the most part , [[trustees]] anne-sophie birot 's first [[specification]] is a sensitive , [[overly]] well-acted [[tragic]] . ",0.0024148225784301758,0.614017128944397,1,0,1,142,"Successful"
"mr. tsai is a very [[original]] artist in his medium , and what time is it there ? ","mr. tsai is a very [[initial]] artist in his medium , and what time is it there ? ",0.06723999977111816,0.6149132251739502,1,0,1,37,"Successful"
"sade is an [[engaging]] [[look]] at the controversial eponymous and fiercely atheistic hero . ","sade is an [[implicate]] [[blankly]] at the controversial eponymous and fiercely atheistic hero . ",0.0022491812705993652,0.9956106543540955,1,0,1,102,"Successful"
"[[so]] [[devoid]] of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ","[[thus]] [[free]] of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ",0.004311621189117432,0.9651055335998535,0,1,0,66,"Successful"
"a [[tender]] , [[heartfelt]] family [[drama]] . ","a [[supply]] , [[forthright]] family [[tragic]] . ",0.001682281494140625,0.3808833956718445,1,1,1,108,"Failed"
"... a [[hollow]] [[joke]] told by a cinematic gymnast having too much fun embellishing the misanthropic tale to [[actually]] [[engage]] it . ","... a [[empties]] [[entertaining]] told by a cinematic gymnast having too much fun embellishing the misanthropic tale to [[assuredly]] [[engaging]] it . ",0.0026220083236694336,0.7912673354148865,0,1,0,162,"Successful"
"the [[cold]] turkey would 've been a far [[better]] title . ","the [[coolest]] turkey would 've been a far [[well]] title . ",0.03994852304458618,0.9605615139007568,0,1,0,29,"Successful"
"manages to be both repulsively sadistic and [[mundane]] . ","manages to be both repulsively sadistic and [[prosaic]] . ",0.2033848762512207,0.9715263843536377,0,1,0,24,"Successful"
"it 's just disappointingly [[superficial]] -- a [[movie]] that [[has]] all the [[elements]] [[necessary]] to be a fascinating , involving [[character]] [[study]] , but never [[does]] more than scratch the surface . ","it 's just disappointingly [[palpable]] -- a [[cine]] that [[enjoys]] all the [[constituents]] [[sufficient]] to be a fascinating , involving [[idiosyncrasies]] [[explorations]] , but never [[desires]] more than scratch the surface . ",0.002880096435546875,0.08066439628601074,0,0,0,200,"Failed"
"this is a [[story]] of two misfits who do n't stand a chance alone , but [[together]] they are [[magnificent]] . ","this is a [[myths]] of two misfits who do n't stand a chance alone , but [[assembly]] they are [[grandiose]] . ",0.0019901394844055176,0.5307577848434448,1,0,1,93,"Successful"
"schaeffer [[has]] to find some hook on which to hang his persistently [[useless]] movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer [[enjoy]] to find some hook on which to hang his persistently [[immaterial]] movies , and it might as well be the resuscitation of the middle-aged character . ",0.0035184621810913086,0.6923782825469971,0,1,0,89,"Successful"
"the primitive [[force]] of this film seems to bubble up from the [[vast]] collective memory of the combatants . ","the primitive [[troupes]] of this film seems to bubble up from the [[extensive]] collective memory of the combatants . ",0.012018740177154541,0.5590643882751465,1,0,1,70,"Successful"
"on this tricky topic , tadpole is very much a step in the [[right]] direction , with its [[blend]] of [[frankness]] , civility and [[compassion]] . ","on this tricky topic , tadpole is very much a step in the [[adequate]] direction , with its [[amalgam]] of [[naivete]] , civility and [[pity]] . ",0.0023013949394226074,0.6761028170585632,1,0,1,110,"Successful"
"the script kicks in , and mr. hartley 's [[distended]] pace and foot-dragging rhythms follow . ","the script kicks in , and mr. hartley 's [[sphincter]] pace and foot-dragging rhythms follow . ",0.13019025325775146,0.9948827624320984,0,1,0,31,"Successful"
"you [[wonder]] why enough was n't just a music video rather than a full-length movie . ","you [[astounded]] why enough was n't just a music video rather than a full-length movie . ",0.035585105419158936,0.5380761623382568,0,1,0,29,"Successful"
"if you '[[re]] [[hard]] up for raunchy college humor , this is your [[ticket]] [[right]] here . ","if you '[[sos]] [[inhospitable]] up for raunchy college humor , this is your [[billet]] [[correctly]] here . ",0.011334896087646484,0.8348196744918823,1,0,1,58,"Successful"
"a [[fast]] , [[funny]] , highly [[enjoyable]] movie . ","a [[faster]] , [[nosy]] , highly [[cosy]] movie . ",0.0014988183975219727,0.9761035442352295,1,0,1,87,"Successful"
"[[good]] old-fashioned slash-and-hack is back ! ","[[guten]] old-fashioned slash-and-hack is back ! ",0.009209990501403809,0.6039391160011292,1,0,1,43,"Successful"
"this one is definitely one to skip , even for horror movie fanatics . ","this one is definitely one to skip , even for horror movie fanatics . ",0.5253019332885742,0.5253019332885742,1,1,0,1,"Skipped"
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never [[really]] builds up a head of emotional steam . ","for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never [[downright]] builds up a head of emotional steam . ",0.008648991584777832,0.5821058750152588,0,1,0,66,"Successful"
"exquisitely nuanced in mood tics and dialogue , this chamber drama is [[superbly]] acted by the [[deeply]] appealing veteran bouquet and the [[chilling]] but [[quite]] [[human]] berling . ","exquisitely nuanced in mood tics and dialogue , this chamber drama is [[terribly]] acted by the [[profound]] appealing veteran bouquet and the [[gruesome]] but [[too]] [[humanist]] berling . ",0.001965343952178955,0.7603424787521362,1,0,1,154,"Successful"
"uses high [[comedy]] to evoke [[surprising]] poignance . ","uses high [[stuffing]] to evoke [[stun]] poignance . ",0.002344965934753418,0.9613654613494873,1,0,1,87,"Successful"
"one of creepiest , [[scariest]] movies to come along in a long , long [[time]] , easily rivaling blair witch or the others . ","one of creepiest , [[horrifying]] movies to come along in a long , long [[dated]] , easily rivaling blair witch or the others . ",0.006327033042907715,0.7520195245742798,1,0,1,98,"Successful"
"a [[string]] of rehashed sight [[gags]] based in [[insipid]] vulgarity . ","a [[chord]] of rehashed sight [[hilarious]] based in [[harmless]] vulgarity . ",0.0028075575828552246,0.6262112855911255,0,1,0,114,"Successful"
"among the year 's most [[intriguing]] [[explorations]] of alientation . ","among the year 's most [[baffling]] [[crawling]] of alientation . ",0.001946568489074707,0.9953465461730957,1,0,1,110,"Successful"
"the movie [[fails]] to live up to the sum of its parts . ","the movie [[overlooking]] to live up to the sum of its parts . ",0.0023466944694519043,0.97674560546875,0,1,0,62,"Successful"
"the son 's room is a [[triumph]] of gentility that [[earns]] its moments of pathos . ","the son 's room is a [[sieg]] of gentility that [[earning]] its moments of pathos . ",0.005530118942260742,0.6700517535209656,1,0,1,85,"Successful"
"there is nothing outstanding about this film , but it is [[good]] enough and [[will]] likely [[be]] [[appreciated]] most by sailors and folks who [[know]] their way around a submarine . ","there is nothing outstanding about this film , but it is [[optimum]] enough and [[availability]] likely [[was]] [[cared]] most by sailors and folks who [[overheard]] their way around a submarine . ",0.00421220064163208,0.2860790491104126,1,1,1,200,"Failed"
"this is a [[train]] [[wreck]] of an action film -- a stupefying [[attempt]] by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the [[toilet]] in [[favor]] of bright flashes and loud bangs . ","this is a [[trains]] [[obliterating]] of an action film -- a stupefying [[aspires]] by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the [[bidets]] in [[positives]] of bright flashes and loud bangs . ",0.002665221691131592,0.7211489081382751,0,1,0,192,"Successful"
"the draw ( for `` big bad love '' ) is a [[solid]] performance by arliss howard . ","the draw ( for `` big bad love '' ) is a [[audio]] performance by arliss howard . ",0.0022391080856323242,0.5484192371368408,1,0,1,51,"Successful"
"green might want to hang onto that [[ski]] [[mask]] , as robbery may [[be]] the only [[way]] to [[pay]] for his next [[project]] . ","green might want to hang onto that [[alpine]] [[skin]] , as robbery may [[es]] the only [[distances]] to [[makes]] for his next [[proposition]] . ",0.008245468139648438,0.23912197351455688,0,0,0,200,"Failed"
"it 's one pussy-ass [[world]] when even killer-thrillers [[revolve]] around [[group]] [[therapy]] [[sessions]] . ","it 's one pussy-ass [[orb]] when even killer-thrillers [[twisting]] around [[gatherings]] [[treat]] [[seated]] . ",0.04243659973144531,0.9043588638305664,0,1,0,136,"Successful"
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ","though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",0.6471206545829773,0.6471206545829773,0,0,1,1,"Skipped"
"the band 's [[courage]] in the face of official repression is [[inspiring]] , especially for aging hippies ( this one included ) . ","the band 's [[plucky]] in the face of official repression is [[encourages]] , especially for aging hippies ( this one included ) . ",0.0024834871292114258,0.7291266918182373,1,0,1,68,"Successful"
"the movie [[achieves]] as [[great]] an impact by keeping these [[thoughts]] hidden as ... ( quills ) did by showing them . ","the movie [[perceives]] as [[prodigious]] an impact by keeping these [[idea]] hidden as ... ( quills ) did by showing them . ",0.00519484281539917,0.830743670463562,1,0,1,86,"Successful"
"the film [[flat]] lines when it should peak and is more [[missed]] opportunity and trifle than dark , decadent truffle . ","the film [[stable]] lines when it should peak and is more [[outof]] opportunity and trifle than dark , decadent truffle . ",0.0032352209091186523,0.6506137251853943,0,1,0,61,"Successful"
"jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ","jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ",0.84244704246521,0.84244704246521,0,0,1,1,"Skipped"
"fresnadillo 's dark and jolting images have a [[way]] of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ","fresnadillo 's dark and jolting images have a [[routed]] of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ",0.02658635377883911,0.5875046849250793,1,0,1,68,"Successful"
"we know the plot 's a little [[crazy]] , but it [[held]] my interest from start to finish . ","we know the plot 's a little [[madman]] , but it [[chocks]] my interest from start to finish . ",0.007373034954071045,0.9913182854652405,1,0,1,83,"Successful"
"it 's a scattershot affair , but when it [[hits]] its mark it 's [[brilliant]] . ","it 's a scattershot affair , but when it [[lesions]] its mark it 's [[grandiose]] . ",0.00194549560546875,0.9374788999557495,1,0,1,99,"Successful"
"hardly a [[masterpiece]] , but it [[introduces]] [[viewers]] to a [[good]] charitable [[enterprise]] and some [[interesting]] real people . ","hardly a [[mainstay]] , but it [[contained]] [[bystanders]] to a [[useful]] charitable [[undertaken]] and some [[outlandish]] real people . ",0.001956939697265625,0.7987067699432373,1,0,1,184,"Successful"
"you wo n't like roger , but you will quickly recognize him . ","you wo n't like roger , but you will quickly recognize him . ",0.9945485591888428,0.9945485591888428,1,1,0,1,"Skipped"
"if steven soderbergh 's ` solaris ' is a failure it is a [[glorious]] failure . ","if steven soderbergh 's ` solaris ' is a failure it is a [[leggy]] failure . ",0.3928123712539673,0.9974064826965332,1,0,1,64,"Successful"
"byler [[reveals]] his characters in a way that intrigues and even fascinates us , and he never [[reduces]] the [[situation]] to simple melodrama . ","byler [[betrays]] his characters in a way that intrigues and even fascinates us , and he never [[abate]] the [[predicament]] to simple melodrama . ",0.002384185791015625,0.7918954491615295,1,0,1,128,"Successful"
"this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ","this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ",0.9942622780799866,0.9942622780799866,1,1,0,1,"Skipped"
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and [[underarm]] [[noises]] [[played]] a crucial role . ","it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and [[armpits]] [[resonant]] [[performed]] a crucial role . ",0.02001291513442993,0.5221589803695679,0,1,0,110,"Successful"
"no sophomore [[slump]] for director sam mendes , who segues from oscar winner to oscar-winning potential with a [[smooth]] sleight of hand . ","no sophomore [[downturn]] for director sam mendes , who segues from oscar winner to oscar-winning potential with a [[irreproachable]] sleight of hand . ",0.006852686405181885,0.6129230260848999,1,0,1,88,"Successful"
"on the whole , the movie [[lacks]] wit , feeling and believability to compensate for its incessant coarseness and banality . ","on the whole , the movie [[inadequacy]] wit , feeling and believability to compensate for its incessant coarseness and banality . ",0.0022457242012023926,0.6433240175247192,0,1,0,53,"Successful"
"why [[make]] a [[documentary]] about these [[marginal]] [[historical]] [[figures]] ? ","why [[brings]] a [[document]] about these [[petite]] [[retrospect]] [[silhouette]] ? ",0.00733637809753418,0.6394621729850769,0,1,0,193,"Successful"
"neither parker nor donovan is a typical romantic lead , but they [[bring]] a fresh , [[quirky]] [[charm]] to the formula . ","neither parker nor donovan is a typical romantic lead , but they [[assumes]] a fresh , [[oddball]] [[tempt]] to the formula . ",0.002106010913848877,0.7452985644340515,1,0,1,133,"Successful"
"his last movie was poetically romantic and full of indelible images , but his latest has nothing [[going]] for it . ","his last movie was poetically romantic and full of indelible images , but his latest has nothing [[relinquishing]] for it . ",0.0031986236572265625,0.8939633369445801,0,1,0,52,"Successful"
"does paint some memorable images ... , but makhmalbaf [[keeps]] her [[distance]] from the characters ","does paint some memorable images ... , but makhmalbaf [[guardsman]] her [[alienation]] from the characters ",0.016949832439422607,0.9651231169700623,1,0,1,81,"Successful"
"a [[gripping]] movie , [[played]] with performances that are all understated and touching . ","a [[hallucinatory]] movie , [[suffered]] with performances that are all understated and touching . ",0.0015543103218078613,0.9633268117904663,1,0,1,85,"Successful"
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as [[cute]] as all get-out and the odds against success are long enough to intimidate , but short enough to [[make]] a dream seem possible . ","it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as [[mignon]] as all get-out and the odds against success are long enough to intimidate , but short enough to [[translating]] a dream seem possible . ",0.041836559772491455,0.6860814094543457,1,0,1,130,"Successful"
"combining quick-cut [[editing]] and a blaring heavy metal much of the time , beck [[seems]] to [[be]] under the [[illusion]] that he 's shooting the latest system of a down video . ","combining quick-cut [[changing]] and a blaring heavy metal much of the time , beck [[listens]] to [[represented]] under the [[delirium]] that he 's shooting the latest system of a down video . ",0.020831286907196045,0.6067898869514465,0,1,0,131,"Successful"
"the movie 's relatively simple plot and uncomplicated morality play [[well]] with the affable cast . ","the movie 's relatively simple plot and uncomplicated morality play [[even]] with the affable cast . ",0.0021210908889770508,0.9459553956985474,1,0,1,38,"Successful"
"what the director ca n't [[do]] is make either of val kilmer 's two [[personas]] interesting or worth caring about . ","what the director ca n't [[suis]] is make either of val kilmer 's two [[someone]] interesting or worth caring about . ",0.0036701560020446777,0.5106351375579834,0,1,0,56,"Successful"
"too [[often]] , the viewer is n't reacting to [[humor]] so much as they are [[wincing]] back in [[repugnance]] . ","too [[seldom]] , the viewer is n't reacting to [[hilarious]] so much as they are [[chuckled]] back in [[monstrosity]] . ",0.016765713691711426,0.5576149225234985,0,1,0,160,"Successful"
