"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"... the film suffers from a [[lack]] of humor ( something needed to balance out the [[violence]] ) ... ","... the film suffers from a [[rarity]] of humor ( something needed to balance out the [[abusing]] ) ... ",7.30752944946289e-05,0.006984233856201172,0,0,0,80,"Failed"
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.9860268235206604,0.9860268235206604,0,0,1,1,"Skipped"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[dearth]] both thrills and humor . ",0.1674748659133911,0.6563105583190918,0,1,0,59,"Successful"
"a [[gorgeous]] , high-spirited musical from india that [[exquisitely]] blends music , dance , song , and high drama . ","a [[grandiose]] , high-spirited musical from india that [[brightly]] blends music , dance , song , and high drama . ",9.97781753540039e-05,0.001986265182495117,1,1,1,80,"Failed"
"the [[emotions]] are raw and [[will]] strike a [[nerve]] with anyone who 's ever [[had]] family trauma . ","the [[sentiments]] are raw and [[wanting]] strike a [[boldness]] with anyone who 's ever [[holds]] family trauma . ",0.0056803226470947266,0.39465242624282837,1,1,1,80,"Failed"
"audrey tatou has a [[knack]] for picking roles that magnify her outrageous [[charm]] , and in this literate french comedy , she 's as morning-glory [[exuberant]] as she was in amélie . ","audrey tatou has a [[don]] for picking roles that magnify her outrageous [[allure]] , and in this literate french comedy , she 's as morning-glory [[florid]] as she was in amélie . ",0.0003095865249633789,0.6082834601402283,1,0,1,80,"Successful"
"... the [[movie]] is just a [[plain]] [[old]] monster . ","... the [[photography]] is just a [[cimarron]] [[longtime]] monster . ",0.0052793025970458984,0.8613640666007996,0,1,0,80,"Successful"
"in its best moments , resembles a [[bad]] high school production of grease , without benefit of song . ","in its best moments , resembles a [[horrid]] high school production of grease , without benefit of song . ",0.00265425443649292,0.5602469444274902,0,1,0,60,"Successful"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.7648228406906128,0.7648228406906128,1,1,0,1,"Skipped"
"the iditarod [[lasts]] for days - this just felt like it did . ","the iditarod [[extends]] for days - this just felt like it did . ",0.1110348105430603,0.9661778211593628,0,1,0,29,"Successful"
"holden caulfield [[did]] it better . ","holden caulfield [[does]] it better . ",0.2341012954711914,0.984534740447998,0,1,0,36,"Successful"
"a delectable and [[intriguing]] [[thriller]] filled with [[surprises]] , read my [[lips]] is an original . ","a delectable and [[staggering]] [[slasher]] filled with [[stupor]] , read my [[noses]] is an original . ",0.00023299455642700195,0.07757949829101562,1,1,1,80,"Failed"
"seldom has a movie so closely matched the [[spirit]] of a man and his work . ","seldom has a movie so closely matched the [[esprit]] of a man and his work . ",0.043914616107940674,0.844594419002533,1,0,1,41,"Successful"
"nicks , seemingly [[uncertain]] what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly [[unbeknownst]] what 's going to make people laugh , runs the gamut from [[yesteryear]] parody to raunchy sex gags to formula romantic comedy . ",0.001993715763092041,0.7688046097755432,0,1,0,67,"Successful"
"the action switches between past and present , but the material link is too [[tenuous]] to anchor the emotional connections that purport to [[span]] a 125-year divide . ","the action switches between past and present , but the material link is too [[frailty]] to anchor the emotional connections that purport to [[embracing]] a 125-year divide . ",0.0010818243026733398,0.0511171817779541,0,0,0,80,"Failed"
"it 's an offbeat treat that pokes [[fun]] at the democratic exercise while also examining its [[significance]] for those who take part . ","it 's an offbeat treat that pokes [[distracting]] at the democratic exercise while also examining its [[relevance]] for those who take part . ",0.005883932113647461,0.46208715438842773,1,1,1,80,"Failed"
"it 's a cookie-cutter [[movie]] , a cut-and-paste [[job]] . ","it 's a cookie-cutter [[cine]] , a cut-and-paste [[mission]] . ",0.07697153091430664,0.6742693781852722,0,1,0,80,"Successful"
"i [[had]] to look away - this was god [[awful]] . ","i [[possesses]] to look away - this was god [[monstrous]] . ",0.04741966724395752,0.9632009267807007,0,1,0,67,"Successful"
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most [[compelling]] variations on in the company of men . ","thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most [[unconvincing]] variations on in the company of men . ",0.00024086236953735352,0.6005841493606567,1,0,1,62,"Successful"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0.8130930662155151,0.8130930662155151,1,1,0,1,"Skipped"
"a [[gorgeous]] , [[witty]] , [[seductive]] movie . ","a [[grandiose]] , [[eclectic]] , [[leggy]] movie . ",4.76837158203125e-07,0.8238621950149536,1,0,1,80,"Successful"
"if the movie succeeds in instilling a [[wary]] sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a [[leery]] sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0.4539802670478821,0.7799580097198486,0,1,0,58,"Successful"
"it does n't [[believe]] in itself , it has no [[sense]] of [[humor]] ... it 's just [[plain]] bored . ","it does n't [[deem]] in itself , it has no [[feel]] of [[laugh]] ... it 's just [[unadulterated]] bored . ",0.0014037489891052246,0.2126237154006958,0,0,0,80,"Failed"
"a sequence of [[ridiculous]] [[shoot]] - 'em - up scenes . ","a sequence of [[nutty]] [[draw]] - 'em - up scenes . ",0.0016308426856994629,0.5158970952033997,0,1,0,80,"Successful"
"the weight of the piece , the unerring [[professionalism]] of the chilly production , and the [[fascination]] embedded in the lurid topic prove recommendation enough . ","the weight of the piece , the unerring [[profession]] of the chilly production , and the [[allure]] embedded in the lurid topic prove recommendation enough . ",0.06890624761581421,0.5205471515655518,1,0,1,80,"Successful"
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0.9829315543174744,0.9829315543174744,1,1,0,1,"Skipped"
"as surreal as a [[dream]] and as [[detailed]] as a photograph , as visually dexterous as it is at times imaginatively [[overwhelming]] . ","as surreal as a [[asleep]] and as [[circumspect]] as a photograph , as visually dexterous as it is at times imaginatively [[dreaded]] . ",0.0008127093315124512,0.25663143396377563,1,1,1,80,"Failed"
"[[escaping]] the [[studio]] , piccoli is [[warmly]] [[affecting]] and so is this adroitly minimalist movie . ","[[leaks]] the [[atelier]] , piccoli is [[frankly]] [[complications]] and so is this adroitly minimalist movie . ",0.00016546249389648438,0.5884265303611755,1,0,1,80,"Successful"
"there 's ... [[tremendous]] [[energy]] from the [[cast]] , a sense of playfulness and excitement that seems [[appropriate]] . ","there 's ... [[huge]] [[electricity]] from the [[threw]] , a sense of playfulness and excitement that seems [[valid]] . ",0.000652611255645752,0.7392820119857788,1,0,1,80,"Successful"
"this [[illuminating]] documentary transcends our preconceived vision of the holy land and its inhabitants , [[revealing]] the human [[complexities]] beneath . ","this [[didactic]] documentary transcends our preconceived vision of the holy land and its inhabitants , [[denotes]] the human [[complicate]] beneath . ",0.00036704540252685547,0.12889498472213745,1,1,1,80,"Failed"
"the subtle [[strength]] of `` elling '' is that it never loses touch with the reality of the grim situation . ","the subtle [[harshness]] of `` elling '' is that it never loses touch with the reality of the grim situation . ",0.06972664594650269,0.9107546210289001,1,0,1,43,"Successful"
"holm ... [[embodies]] the character with an [[effortlessly]] [[regal]] [[charisma]] . ","holm ... [[conjures]] the character with an [[magically]] [[monarchy]] [[allure]] . ",6.67572021484375e-06,0.05854761600494385,1,1,1,80,"Failed"
"the title not only [[describes]] its main characters , but the lazy [[people]] behind the [[camera]] as well . ","the title not only [[contours]] its main characters , but the lazy [[folks]] behind the [[cams]] as well . ",0.0010445117950439453,0.1817494034767151,0,0,0,80,"Failed"
"it offers [[little]] beyond the momentary joys of pretty and weightless intellectual entertainment . ","it offers [[hsiao]] beyond the momentary joys of pretty and weightless intellectual entertainment . ",0.14242029190063477,0.9625511169433594,0,1,0,52,"Successful"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ","a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ",0.8962298631668091,0.8962298631668091,1,1,0,1,"Skipped"
"a [[subtle]] and well-crafted ( for the most [[part]] ) chiller . ","a [[tricky]] and well-crafted ( for the most [[fraction]] ) chiller . ",0.0002829432487487793,0.0030712485313415527,1,1,1,64,"Failed"
"has a lot of the [[virtues]] of eastwood at his [[best]] . ","has a lot of the [[merited]] of eastwood at his [[improved]] . ",0.00024515390396118164,0.844117283821106,1,0,1,52,"Successful"
"it 's [[hampered]] by a lifetime-channel kind of plot and a lead actress who is out of her depth . ","it 's [[jeopardized]] by a lifetime-channel kind of plot and a lead actress who is out of her depth . ",0.0022138357162475586,0.9186467528343201,0,1,0,67,"Successful"
"it [[feels]] like an after-school special gussied up with some fancy special effects , and watching its [[rote]] plot points connect is about as exciting as gazing at an egg [[timer]] for 93 minutes . ","it [[senses]] like an after-school special gussied up with some fancy special effects , and watching its [[croix]] plot points connect is about as exciting as gazing at an egg [[clocks]] for 93 minutes . ",0.0011998414993286133,0.04004871845245361,0,0,0,80,"Failed"
"for the most part , director anne-sophie birot 's first [[feature]] is a sensitive , [[extraordinarily]] well-acted drama . ","for the most part , director anne-sophie birot 's first [[featured]] is a sensitive , [[significantly]] well-acted drama . ",0.0008480548858642578,0.05897557735443115,1,1,1,80,"Failed"
"mr. tsai is a [[very]] original artist in his medium , and what time is it there ? ","mr. tsai is a [[severely]] original artist in his medium , and what time is it there ? ",0.05242443084716797,0.9849677085876465,1,0,1,60,"Successful"
"sade is an [[engaging]] look at the controversial eponymous and fiercely atheistic [[hero]] . ","sade is an [[perpetrating]] look at the controversial eponymous and fiercely atheistic [[smack]] . ",0.0001519918441772461,0.8999112248420715,1,0,1,69,"Successful"
"so [[devoid]] of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ","so [[bereft]] of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ",0.00146484375,0.7392475605010986,0,1,0,35,"Successful"
"a [[tender]] , [[heartfelt]] family [[drama]] . ","a [[bid]] , [[depths]] family [[melodramatic]] . ",2.777576446533203e-05,0.9470778107643127,1,0,1,80,"Successful"
"... a hollow [[joke]] told by a cinematic gymnast [[having]] too much fun embellishing the misanthropic tale to actually engage it . ","... a hollow [[funny]] told by a cinematic gymnast [[adopting]] too much fun embellishing the misanthropic tale to actually engage it . ",0.010150313377380371,0.8120370507240295,0,1,0,71,"Successful"
"the [[cold]] [[turkey]] would 've been a far [[better]] [[title]] . ","the [[cool]] [[anatolia]] would 've been a far [[more]] [[behalf]] . ",0.0009646415710449219,0.98187255859375,0,1,0,60,"Successful"
"manages to be both repulsively [[sadistic]] and [[mundane]] . ","manages to be both repulsively [[ferocious]] and [[rife]] . ",0.002088487148284912,0.8509343862533569,0,1,0,43,"Successful"
"it 's just disappointingly superficial -- a [[movie]] that has all the elements necessary to be a fascinating , involving character study , but never [[does]] more than [[scratch]] the [[surface]] . ","it 's just disappointingly superficial -- a [[cinema]] that has all the elements necessary to be a fascinating , involving character study , but never [[wanna]] more than [[none]] the [[surfacing]] . ",0.001279592514038086,0.08267247676849365,0,0,0,80,"Failed"
"this is a story of two misfits who [[do]] n't stand a chance alone , but together they are [[magnificent]] . ","this is a story of two misfits who [[got]] n't stand a chance alone , but together they are [[grandiose]] . ",0.0034265518188476562,0.5742478966712952,1,0,1,80,"Successful"
"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it might as well be the [[resuscitation]] of the middle-aged [[character]] . ","schaeffer has to find some hook on which to hang his persistently [[wanton]] movies , and it might as well be the [[resuscitate]] of the middle-aged [[characteristic]] . ",0.0022010207176208496,0.2891833186149597,0,0,0,80,"Failed"
"the primitive force of this [[film]] seems to bubble up from the vast collective memory of the combatants . ","the primitive force of this [[filmmakers]] seems to bubble up from the vast collective memory of the combatants . ",0.14669948816299438,0.6569770574569702,1,0,1,36,"Successful"
"on this tricky topic , tadpole is [[very]] much a step in the right direction , with its [[blend]] of frankness , civility and compassion . ","on this tricky topic , tadpole is [[severely]] much a step in the right direction , with its [[amalgamated]] of frankness , civility and compassion . ",0.0008843541145324707,0.8246127367019653,1,0,1,80,"Successful"
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0.8203771710395813,0.8203771710395813,1,1,0,1,"Skipped"
"you [[wonder]] why enough was n't just a music [[video]] rather than a full-length [[movie]] . ","you [[amazement]] why enough was n't just a music [[clip]] rather than a full-length [[cine]] . ",0.03411555290222168,0.8796641826629639,0,1,0,61,"Successful"
"if you 're hard up for raunchy college humor , this is your ticket right here . ","if you 're hard up for raunchy college humor , this is your ticket right here . ",0.8188050985336304,0.8188050985336304,0,0,1,1,"Skipped"
"a fast , [[funny]] , [[highly]] [[enjoyable]] movie . ","a fast , [[outlandish]] , [[acutely]] [[agreeable]] movie . ",2.1457672119140625e-06,0.19726037979125977,1,1,1,80,"Failed"
"[[good]] old-fashioned slash-and-hack is back ! ","[[adequate]] old-fashioned slash-and-hack is back ! ",0.010289609432220459,0.1670476794242859,1,1,1,43,"Failed"
"this one is definitely one to [[skip]] , even for horror movie fanatics . ","this one is definitely one to [[hop]] , even for horror movie fanatics . ",0.2049933671951294,0.9978256821632385,0,1,0,42,"Successful"
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0.8550942540168762,0.8550942540168762,1,1,0,1,"Skipped"
"[[exquisitely]] nuanced in mood tics and dialogue , this chamber drama is [[superbly]] acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ","[[admirably]] nuanced in mood tics and dialogue , this chamber drama is [[terribly]] acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",9.453296661376953e-05,0.003133118152618408,1,1,1,80,"Failed"
"uses [[high]] comedy to [[evoke]] [[surprising]] poignance . ","uses [[bigger]] comedy to [[conjured]] [[astonishment]] poignance . ",1.800060272216797e-05,0.019663989543914795,1,1,1,80,"Failed"
"one of creepiest , [[scariest]] movies to come along in a long , long time , easily rivaling blair witch or the others . ","one of creepiest , [[scarier]] movies to come along in a long , long time , easily rivaling blair witch or the others . ",0.3505825996398926,0.8035097122192383,1,0,1,52,"Successful"
"a [[string]] of rehashed sight [[gags]] [[based]] in insipid vulgarity . ","a [[bead]] of rehashed sight [[giggle]] [[rooted]] in insipid vulgarity . ",8.83340835571289e-05,0.0017207860946655273,0,0,0,80,"Failed"
"among the year 's most [[intriguing]] explorations of alientation . ","among the year 's most [[baffling]] explorations of alientation . ",0.0007372498512268066,0.8067049384117126,1,0,1,60,"Successful"
"the movie [[fails]] to live up to the sum of its parts . ","the movie [[chess]] to live up to the sum of its parts . ",6.961822509765625e-05,0.9963957071304321,0,1,0,62,"Successful"
"the son 's room is a [[triumph]] of gentility that earns its [[moments]] of pathos . ","the son 's room is a [[earn]] of gentility that earns its [[minutes]] of pathos . ",0.0008860230445861816,0.7831941843032837,1,0,1,65,"Successful"
"there is nothing outstanding about this film , but it is [[good]] enough and will likely be [[appreciated]] most by sailors and folks who know their way around a submarine . ","there is nothing outstanding about this film , but it is [[okay]] enough and will likely be [[cared]] most by sailors and folks who know their way around a submarine . ",0.013449549674987793,0.5018931031227112,1,0,1,80,"Successful"
"this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the [[toilet]] in favor of bright flashes and loud bangs . ","this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the [[bath]] in favor of bright flashes and loud bangs . ",0.0002893805503845215,0.002907991409301758,0,0,0,80,"Failed"
"the draw ( for `` big bad love '' ) is a [[solid]] performance by arliss howard . ","the draw ( for `` big bad love '' ) is a [[audio]] performance by arliss howard . ",0.07225704193115234,0.9876000881195068,1,0,1,51,"Successful"
"green might want to hang onto that ski mask , as robbery may be the only [[way]] to [[pay]] for his next project . ","green might want to hang onto that ski mask , as robbery may be the only [[course]] to [[render]] for his next project . ",0.0015869140625,0.0070493221282958984,0,0,0,80,"Failed"
"it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ","it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ",0.9512690901756287,0.9512690901756287,1,1,0,1,"Skipped"
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ","though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",0.5079577565193176,0.5079577565193176,0,0,1,1,"Skipped"
"the band 's [[courage]] in the face of official repression is [[inspiring]] , especially for [[aging]] [[hippies]] ( this one included ) . ","the band 's [[plucky]] in the face of official repression is [[promising]] , especially for [[ageing]] [[beatniks]] ( this one included ) . ",0.000830531120300293,0.40475839376449585,1,1,1,80,"Failed"
"the movie achieves as [[great]] an impact by keeping these [[thoughts]] hidden as ... ( [[quills]] ) did by showing them . ","the movie achieves as [[gargantuan]] an impact by keeping these [[figured]] hidden as ... ( [[feathers]] ) did by showing them . ",0.005158483982086182,0.6233029365539551,1,0,1,80,"Successful"
"the film flat lines when it [[should]] peak and is more missed opportunity and trifle than dark , decadent truffle . ","the film flat lines when it [[ought]] peak and is more missed opportunity and trifle than dark , decadent truffle . ",0.38187694549560547,0.6865881085395813,0,1,0,59,"Successful"
"jaglom ... put ( s ) the [[audience]] in the [[privileged]] position of eavesdropping on his [[characters]] ","jaglom ... put ( s ) the [[spectator]] in the [[preferable]] position of eavesdropping on his [[character]] ",0.012818753719329834,0.5507214069366455,1,0,1,80,"Successful"
"fresnadillo 's dark and jolting [[images]] have a [[way]] of plying into your subconscious like the nightmare you had a week ago that wo n't go [[away]] . ","fresnadillo 's dark and jolting [[stills]] have a [[distances]] of plying into your subconscious like the nightmare you had a week ago that wo n't go [[out]] . ",0.03668332099914551,0.6177535057067871,1,0,1,80,"Successful"
"we know the plot 's a little crazy , but it held my interest from start to [[finish]] . ","we know the plot 's a little crazy , but it held my interest from start to [[completed]] . ",0.16171008348464966,0.5005061626434326,1,0,1,63,"Successful"
"it 's a scattershot affair , but when it hits its mark it 's [[brilliant]] . ","it 's a scattershot affair , but when it hits its mark it 's [[grandiose]] . ",0.0037114620208740234,0.7608267068862915,1,0,1,49,"Successful"
"hardly a masterpiece , but it introduces viewers to a [[good]] charitable enterprise and some [[interesting]] real people . ","hardly a masterpiece , but it introduces viewers to a [[adequate]] charitable enterprise and some [[interested]] real people . ",0.0001837611198425293,0.022407352924346924,1,1,1,80,"Failed"
"you wo n't like roger , but you will quickly recognize him . ","you wo n't like roger , but you will quickly recognize him . ",0.7852693796157837,0.7852693796157837,1,1,0,1,"Skipped"
"if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ","if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ",0.9999725818634033,0.9999725818634033,0,0,1,1,"Skipped"
"byler [[reveals]] his characters in a way that intrigues and even [[fascinates]] us , and he never reduces the situation to simple melodrama . ","byler [[discloses]] his characters in a way that intrigues and even [[bothers]] us , and he never reduces the situation to simple melodrama . ",0.035850346088409424,0.28382277488708496,1,1,1,80,"Failed"
"this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ","this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ",0.9927315711975098,0.9927315711975098,1,1,0,1,"Skipped"
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm [[noises]] played a crucial role . ","it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm [[sounds]] played a crucial role . ",0.009734570980072021,0.5191410779953003,0,1,0,69,"Successful"
"no sophomore slump for director sam mendes , who segues from oscar [[winner]] to oscar-winning potential with a [[smooth]] sleight of hand . ","no sophomore slump for director sam mendes , who segues from oscar [[triumphed]] to oscar-winning potential with a [[mild]] sleight of hand . ",0.03530782461166382,0.96550452709198,1,0,1,67,"Successful"
"on the whole , the movie [[lacks]] wit , feeling and believability to compensate for its incessant coarseness and [[banality]] . ","on the whole , the movie [[absences]] wit , feeling and believability to compensate for its incessant coarseness and [[irreverence]] . ",0.0041512250900268555,0.9571509957313538,0,1,0,80,"Successful"
"why make a documentary about these [[marginal]] historical figures ? ","why make a documentary about these [[immaterial]] historical figures ? ",0.016316711902618408,0.962202250957489,0,1,0,53,"Successful"
"neither parker nor donovan is a typical romantic lead , but they bring a [[fresh]] , quirky [[charm]] to the formula . ","neither parker nor donovan is a typical romantic lead , but they bring a [[mild]] , quirky [[bewitching]] to the formula . ",0.005576074123382568,0.6283339858055115,1,0,1,62,"Successful"
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ","his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0.7075659036636353,0.7075659036636353,1,1,0,1,"Skipped"
"does paint some memorable images ... , but makhmalbaf [[keeps]] her distance from the characters ","does paint some memorable images ... , but makhmalbaf [[maintenance]] her distance from the characters ",0.04888886213302612,0.7485512495040894,1,0,1,63,"Successful"
"a [[gripping]] movie , played with performances that are all [[understated]] and [[touching]] . ","a [[breathless]] movie , played with performances that are all [[overstated]] and [[afflicts]] . ",7.271766662597656e-06,0.9598729014396667,1,0,1,78,"Successful"
"it 's one of those baseball pictures where the [[hero]] is [[stoic]] , the wife is patient , the [[kids]] are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the [[rider]] is [[humorless]] , the wife is patient , the [[brats]] are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",0.08038759231567383,0.5623607039451599,1,0,1,80,"Successful"
"combining quick-cut editing and a [[blaring]] heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ","combining quick-cut editing and a [[roaring]] heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0.025701820850372314,0.5372852683067322,0,1,0,55,"Successful"
"the movie 's relatively simple plot and [[uncomplicated]] morality play well with the affable cast . ","the movie 's relatively simple plot and [[simplistic]] morality play well with the affable cast . ",0.014227211475372314,0.903639018535614,1,0,1,24,"Successful"
"what the director ca n't do is [[make]] either of [[val]] kilmer 's two [[personas]] interesting or [[worth]] [[caring]] about . ","what the director ca n't do is [[afford]] either of [[picked]] kilmer 's two [[personalities]] interesting or [[precious]] [[sympathies]] about . ",0.0002658963203430176,0.4936336278915405,0,0,0,80,"Failed"
"too [[often]] , the viewer is n't [[reacting]] to [[humor]] so much as they are wincing back in repugnance . ","too [[consistently]] , the viewer is n't [[answering]] to [[giggle]] so much as they are wincing back in repugnance . ",0.01698058843612671,0.5446712970733643,0,1,0,80,"Successful"
"it 's [[great]] escapist [[fun]] that recreates a place and time that will never happen again . ","it 's [[overwhelming]] escapist [[droll]] that recreates a place and time that will never happen again . ",0.005151271820068359,0.19046831130981445,1,1,1,80,"Failed"
"[[scores]] no points for [[originality]] , wit , or intelligence . ","[[notes]] no points for [[oddity]] , wit , or intelligence . ",0.01724696159362793,0.847014844417572,0,1,0,39,"Successful"
"there is n't nearly enough fun here , [[despite]] the presence of some appealing ingredients . ","there is n't nearly enough fun here , [[although]] the presence of some appealing ingredients . ",0.047620296478271484,0.9284947514533997,0,1,0,23,"Successful"
"hilariously inept and ridiculous . ","hilariously inept and ridiculous . ",0.9989112019538879,0.9989112019538879,0,0,1,1,"Skipped"
"this movie is [[maddening]] . ","this movie is [[agonising]] . ",0.028585851192474365,0.9869438409805298,0,1,0,31,"Successful"
"it haunts you , you ca n't forget it , you [[admire]] its conception and are [[able]] to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you [[admires]] its conception and are [[capable]] to resolve some of the confusions you had while watching it . ",0.033555686473846436,0.5541273355484009,1,0,1,45,"Successful"
"sam mendes has become valedictorian at the school for soft landings and easy ways out . ","sam mendes has become valedictorian at the school for soft landings and easy ways out . ",0.9977251887321472,0.9977251887321472,1,1,0,1,"Skipped"
"one of the [[smartest]] [[takes]] on singles [[culture]] i 've seen in a long time . ","one of the [[cleverest]] [[having]] on singles [[cultura]] i 've seen in a long time . ",0.0017401576042175293,0.7407675385475159,1,0,1,56,"Successful"
"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ","moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",0.5595178604125977,0.5595178604125977,0,0,1,1,"Skipped"
